country,unit,year,montly_earnings
Brazil,Currency: U.S. dollars,2015,551.74
Brazil,Currency: 2017 PPP $,2016,915.25
Brazil,Currency: U.S. dollars,2016,589.6
Brazil,Currency: 2017 PPP $,2017,933.9
Brazil,Currency: U.S. dollars,2017,681.06
Brazil,Currency: 2017 PPP $,2018,970
Brazil,Currency: U.S. dollars,2018,625.23
Brazil,Currency: U.S. dollars,2019,603.46
Brazil,Currency: 2017 PPP $,2011,740.07
Brazil,Currency: U.S. dollars,2011,730.51
Brunei Darussalam,Currency: 2017 PPP $,2014,2717.75
Brunei Darussalam,Currency: U.S. dollars,2014,1651.35
Botswana,Currency: U.S. dollars,2019,476.62
Botswana,Currency: 2017 PPP $,2010,1144.93
Botswana,Currency: U.S. dollars,2010,683.14
Botswana,Currency: 2017 PPP $,2011,1110.06
Botswana,Currency: U.S. dollars,2011,691.85
Canada,Currency: 2017 PPP $,2010,2732.48
Canada,Currency: U.S. dollars,2010,3435.69
Canada,Currency: 2017 PPP $,2011,2820.59
Canada,Currency: U.S. dollars,2011,3662.62
Canada,Currency: 2017 PPP $,2012,2912.16
Canada,Currency: U.S. dollars,2012,3742.07
Canada,Currency: 2017 PPP $,2013,2931.36
Canada,Currency: U.S. dollars,2013,3708.02
Canada,Currency: 2017 PPP $,2014,2965.6
Canada,Currency: U.S. dollars,2014,3520.01
Canada,Currency: 2017 PPP $,2015,2982.17
Canada,Currency: U.S. dollars,2015,3125.56
Canada,Currency: 2017 PPP $,2016,3132.92
Canada,Currency: U.S. dollars,2016,3073.39
Canada,Currency: 2017 PPP $,2017,3189.9
Canada,Currency: U.S. dollars,2017,3188.65
Canada,Currency: 2017 PPP $,2018,3277.09
Canada,Currency: U.S. dollars,2018,3288.49
Canada,Currency: U.S. dollars,2019,3316.64
Switzerland,Currency: 2017 PPP $,2010,4440.74
Switzerland,Currency: U.S. dollars,2010,6741.13
Switzerland,Currency: 2017 PPP $,2012,4120.69
Switzerland,Currency: U.S. dollars,2012,6619.5
Switzerland,Currency: 2017 PPP $,2014,5100.63
Switzerland,Currency: U.S. dollars,2014,7976.85
Switzerland,Currency: 2017 PPP $,2016,5420.85
Switzerland,Currency: U.S. dollars,2016,7602.03
Chile,Currency: 2017 PPP $,2011,1157.89
Chile,Currency: U.S. dollars,2011,886.25
Chile,Currency: 2017 PPP $,2013,1208.61
Chile,Currency: U.S. dollars,2013,952.11
Chile,Currency: 2017 PPP $,2015,1182.85
Chile,Currency: U.S. dollars,2015,808.79
Chile,Currency: 2017 PPP $,2016,1388.81
Chile,Currency: U.S. dollars,2016,975.27
Chile,Currency: 2017 PPP $,2017,1558.71
Chile,Currency: U.S. dollars,2017,1166.32
Chile,Currency: U.S. dollars,2019,1151.5
China,Currency: 2017 PPP $,2010,842.66
China,Currency: U.S. dollars,2010,449.76
China,Currency: 2017 PPP $,2011,941.98
China,Currency: U.S. dollars,2011,539.04
China,Currency: 2017 PPP $,2012,1063.49
China,Currency: U.S. dollars,2012,617.43
China,Currency: 2017 PPP $,2013,1118.15
China,Currency: U.S. dollars,2013,692.45
China,Currency: 2017 PPP $,2014,1190.59
China,Currency: U.S. dollars,2014,764.5
China,Currency: 2017 PPP $,2015,1283.51
China,Currency: U.S. dollars,2015,830.03
China,Currency: 2017 PPP $,2016,1372.36
China,Currency: U.S. dollars,2016,847.43
Côte d'Ivoire,Currency: 2017 PPP $,2012,327.14
Côte d'Ivoire,Currency: U.S. dollars,2012,150.69
Côte d'Ivoire,Currency: 2017 PPP $,2013,468.83
Côte d'Ivoire,Currency: U.S. dollars,2013,231.44
Côte d'Ivoire,Currency: 2017 PPP $,2017,446.57
Côte d'Ivoire,Currency: U.S. dollars,2017,190.07
Cameroon,Currency: 2017 PPP $,2014,569.47
Cameroon,Currency: U.S. dollars,2014,276.89
Colombia,Currency: 2017 PPP $,2010,710.46
Colombia,Currency: U.S. dollars,2010,452.02
Colombia,Currency: 2017 PPP $,2011,733.77
Colombia,Currency: U.S. dollars,2011,480.8
Colombia,Currency: 2017 PPP $,2012,854.65
Colombia,Currency: U.S. dollars,2012,510.82
Colombia,Currency: 2017 PPP $,2013,887.82
Colombia,Currency: U.S. dollars,2013,524.67
Colombia,Currency: 2017 PPP $,2014,868.22
Colombia,Currency: U.S. dollars,2014,519.66
Colombia,Currency: 2017 PPP $,2015,828.38
Colombia,Currency: U.S. dollars,2015,381.16
Colombia,Currency: 2017 PPP $,2016,819.04
Colombia,Currency: U.S. dollars,2016,364.21
Colombia,Currency: 2017 PPP $,2017,829.14
Colombia,Currency: U.S. dollars,2017,398.76
Colombia,Currency: 2017 PPP $,2018,861.08
Colombia,Currency: U.S. dollars,2018,416.72
Colombia,Currency: U.S. dollars,2019,398.07
Comoros,Currency: 2017 PPP $,2014,377.21
Comoros,Currency: U.S. dollars,2014,227.85
Cape Verde,Currency: 2017 PPP $,2015,645.36
Cape Verde,Currency: U.S. dollars,2015,323.92
Costa Rica,Currency: 2017 PPP $,2018,81.8
Costa Rica,Currency: U.S. dollars,2018,52.72
Costa Rica,Currency: 2017 PPP $,2010,1091.59
Costa Rica,Currency: U.S. dollars,2010,713.44
Costa Rica,Currency: 2017 PPP $,2011,1120.76
Costa Rica,Currency: U.S. dollars,2011,774.43
Costa Rica,Currency: 2017 PPP $,2012,1403.4
Costa Rica,Currency: U.S. dollars,2012,865.63
Costa Rica,Currency: 2017 PPP $,2013,1466.24
Costa Rica,Currency: U.S. dollars,2013,948.05
Costa Rica,Currency: 2017 PPP $,2014,1360.1
Costa Rica,Currency: U.S. dollars,2014,904.63
Costa Rica,Currency: 2017 PPP $,2017,1388.12
Costa Rica,Currency: U.S. dollars,2017,911.54
Costa Rica,Currency: U.S. dollars,2019,929.38
Costa Rica,Currency: 2017 PPP $,2015,1476.64
Costa Rica,Currency: U.S. dollars,2015,987.93
Costa Rica,Currency: 2017 PPP $,2016,1363.46
Costa Rica,Currency: U.S. dollars,2016,935.95
Curaçao,Currency: 2017 PPP $,2018,1801.44
Curaçao,Currency: U.S. dollars,2018,1494.46
Cyprus,Currency: 2017 PPP $,2011,2583.22
Cyprus,Currency: U.S. dollars,2011,2758.86
Cyprus,Currency: 2017 PPP $,2013,2586.05
Cyprus,Currency: U.S. dollars,2013,2583.19
Cyprus,Currency: 2017 PPP $,2015,218.06
Cyprus,Currency: U.S. dollars,2015,174.01
Cyprus,Currency: 2017 PPP $,2016,2771.47
Cyprus,Currency: U.S. dollars,2016,2079.87
Cyprus,Currency: 2017 PPP $,2017,2810.26
Cyprus,Currency: U.S. dollars,2017,2137.36
Czechia,Currency: 2017 PPP $,2010,1812.51
Czechia,Currency: U.S. dollars,2010,1407.51
Czechia,Currency: 2017 PPP $,2011,1755.82
Czechia,Currency: U.S. dollars,2011,1448.07
Czechia,Currency: 2017 PPP $,2012,1783.59
Czechia,Currency: U.S. dollars,2012,1334.85
Czechia,Currency: 2017 PPP $,2013,1862.26
Czechia,Currency: U.S. dollars,2013,1351.21
Czechia,Currency: 2017 PPP $,2014,1924.26
Czechia,Currency: U.S. dollars,2014,1291.2
Czechia,Currency: 2017 PPP $,2015,1960.08
Czechia,Currency: U.S. dollars,2015,1130.59
Czechia,Currency: 2017 PPP $,2016,2088.9
Czechia,Currency: U.S. dollars,2016,1188.87
Czechia,Currency: 2017 PPP $,2017,2248.5
Czechia,Currency: U.S. dollars,2017,1330.79
Czechia,Currency: 2017 PPP $,2018,2416.14
Czechia,Currency: U.S. dollars,2018,1550.12
Germany,Currency: 2017 PPP $,2011,4407.68
Germany,Currency: U.S. dollars,2011,5095.95
Germany,Currency: 2017 PPP $,2012,4511.78
Germany,Currency: U.S. dollars,2012,4816.67
Germany,Currency: 2017 PPP $,2013,4588.33
Germany,Currency: U.S. dollars,2013,5038.88
Germany,Currency: 2017 PPP $,2015,4777.21
Germany,Currency: U.S. dollars,2015,4414.75
